case_id,activity,timestamp,event_type,arrival_timestamp
case_9.24,b,89.802423,start,89.802423
case_15,m,90.127695,start,90.127695
case_5.22,a,86.993972,end,90.271401
case_11.25,o,90.596836,start,90.596836
case_8.21,c,61.110420,end,90.826050
case_9,b,76.097752,start,91.501551
case_7.20,a,91.530366,start,91.530366
case_7.20,i,66.936091,start,92.625534
case_5,a,91.080677,end,92.697785
case_13.17,f,72.199971,start,92.760886
case_7.20,i,91.530366,end,92.879733
case_9,b,92.317940,end,93.041541
case_11.25,k,93.890335,end,93.890335
case_11.25,h,93.890335,start,93.890335
case_13.17,c,72.199971,end,93.972652
case_9,m,68.698222,end,94.045965
case_6.19,h,94.525797,end,94.525797
case_6.19,a,94.525797,start,94.525797
case_5.22.fractal_4,y,95.057787,start,95.057787
case_9.24,p,78.861358,end,95.622110
case_2.26,y,96.375267,end,96.375267
case_5.22,h,96.415041,start,96.415041
case_11.25,g,90.596836,end,96.679934
case_2,q,87.646560,start,96.735049
case_7.20,q,96.763009,start,96.763009
case_16,c,96.825373,end,96.825373
case_7.20,m,96.110874,start,98.029947
case_11.25,k,87.483513,start,98.359045
case_2,m,87.646560,end,98.554577
case_5,m,91.080677,start,98.805730
case_8.21.fractal_3,f,68.732682,start,99.231908
case_13.17,c,99.382404,end,99.382404
case_5.22,c,94.637844,start,99.678579
case_5.22,a,85.406127,start,99.773068
case_6.19,m,99.925369,start,99.925369
case_1,m,70.679872,end,100.193233
case_11,m,100.392924,end,100.392924
case_11.27,m,101.328756,start,101.328756
case_7.28,g,101.502787,start,101.502787
case_9.24,i,101.505398,start,101.505398
case_2.26,d,101.915596,end,101.915596
case_7,i,102.048496,end,102.048496
case_7,c,102.048496,start,102.048496
case_11.25,k,93.612090,start,102.094999
case_5.22.fractal_5,i,102.250234,end,102.250234
case_6.19,a,99.925369,end,102.274064
case_14,q,88.760261,start,102.762284
case_7,m,101.502787,end,102.834078
case_9.24,b,101.505398,end,103.513256
case_9.24.fractal_6,p,103.784242,end,103.784242
case_5.22.fractal_5,a,94.637844,start,104.579927
case_2.26,y,101.915596,start,104.778751
case_5.22,i,89.403189,start,105.513868
case_9.24,i,89.802423,end,105.634900
case_9.24.fractal_6,q,102.098272,end,106.500147
case_5.22.fractal_5,i,97.933785,start,106.592913
case_11.25,o,93.612090,end,107.286633
case_2.26,y,87.646560,start,107.849644
case_5.22.fractal_5,m,95.947167,start,107.995022
case_5.22,i,94.637844,end,108.028255
case_11.25,k,88.056150,end,108.050194
case_9.24,b,108.280055,end,108.828762
case_11.25,g,88.056150,start,108.958977
case_6.19,m,103.769413,end,109.574743
case_7.20,a,96.110874,end,109.718476
case_2.26,a,110.335995,start,110.335995
case_9.24,i,106.587536,end,110.729262
case_9.24,i,108.280055,start,110.743826
case_6.19,p,104.774832,start,110.830509
case_5.22.fractal_5,m,97.933785,end,111.060189
case_13.17,c,98.785138,start,111.067588
case_5.22.fractal_4,s,95.057787,end,111.522617
case_6.19,q,103.769413,start,111.788143
case_9.24.fractal_6,m,103.784242,start,112.619403
case_9.24.fractal_6,i,112.806146,end,112.806146
case_9.24.fractal_6,b,112.806146,start,112.806146
case_29,a,68.355104,start,79.680629
case_9,i,92.317940,start,113.870986
case_9.24,i,113.894653,end,113.894653
case_6,p,114.641095,end,114.641095
case_11.25,k,97.154880,start,114.896659
case_7.28,c,115.021936,end,115.021936
case_15,a,90.127695,end,115.252760
case_11.27,q,102.032635,start,115.321341
case_9.24,i,110.045777,end,115.375709
case_11.25,o,99.463760,start,115.667357
case_7.20,m,96.763009,end,115.692948
case_5.22,k,116.392555,end,116.392555
case_5.22,h,116.392555,start,116.392555
case_5.22.fractal_5,a,95.947167,end,116.410626
case_11.25,k,99.463760,end,116.435817
case_9.24.fractal_6,q,101.505398,start,116.523753
case_5.22,k,117.391177,start,117.391177
case_9.24,b,106.587536,start,117.745589
case_11,a,87.483513,end,117.897853
case_7.28,o,103.712704,start,118.696839
case_5.22,k,103.831330,start,119.002693
case_9.24,c,114.186870,end,119.419768
case_2.26,a,113.335356,end,120.805667
case_11.25,h,97.154880,end,121.175622
case_7.28,o,111.977589,end,121.198199
case_7.28,c,111.977589,start,121.230954
case_5.22,c,96.415041,end,121.275849
case_7.28.fractal_7,g,121.292791,start,121.292791
case_5,m,121.630938,end,121.630938
case_11.27,p,100.392924,start,122.013711
case_30,a,68.587119,start,68.587119
case_30,a,74.196492,end,102.112633
case_30,m,74.196492,start,74.196492
case_30,m,105.001494,end,105.001494
case_9.24.fractal_6,b,122.456312,end,122.456312
case_30,i,114.557929,end,114.557929
case_30,b,114.557929,start,114.557929
case_5.22,g,122.851555,end,122.851555
case_5.22,o,122.851555,start,122.851555
case_11.25,o,112.678576,end,123.286811
case_9.24,b,110.336296,end,123.526119
case_7,i,101.502787,start,123.649831
case_2.26,d,96.375267,start,123.757957
case_9,b,123.937426,start,123.937426
case_5.22.fractal_8,c,124.317016,end,124.317016
case_5.22.fractal_8,h,124.317016,start,124.317016
case_5.22,h,103.831330,end,124.704719
case_11.27,p,101.328756,end,124.730141
case_7.20,p,123.982282,start,125.091672
case_1,i,125.123946,end,125.123946
case_1,b,125.123946,start,125.123946
case_9.24,c,113.894653,start,125.382514
case_7.28,k,126.309607,end,126.309607
case_2.26,m,116.465704,end,126.544931
case_11.27,q,123.088924,end,126.765783
case_5.22,c,126.936336,end,126.936336
case_5.22,h,117.391177,end,127.119713
case_7.28,g,103.712704,end,127.311571
case_5.22,k,119.383832,end,127.602786
case_2.26,y,110.335995,end,127.622534
case_13.17,f,98.785138,end,127.754151
case_12,c,127.460390,end,127.891502
case_5.22,g,119.383832,start,128.813373
case_11.25,k,127.532360,start,129.251851
case_6.19,p,117.327396,end,129.434989
case_5.22,c,126.055960,start,129.700822
case_11.25,h,127.532360,end,129.850372
case_9.24,i,110.336296,start,129.865969
case_30,b,129.812244,end,130.211956
case_2.32,o,130.541047,start,130.541047
case_9,b,127.014270,end,130.585724
case_9.24,b,110.045777,start,130.585866
case_7.20,m,130.725129,start,130.725129
case_11.27,m,102.032635,end,130.940574
case_9.24.fractal_6,i,106.794438,start,131.596530
case_6.19,q,104.774832,end,131.801872
case_9.24.fractal_6,p,102.098272,start,132.135350
case_11.25,k,132.336047,end,132.336047
case_7.28.fractal_7,c,132.440559,end,132.440559
case_7.28,o,126.309607,start,132.497028
case_5.22,o,126.936336,start,132.918285
case_11.25,k,112.678576,start,133.055341
case_5.22.fractal_4,y,108.241772,end,133.350201
case_11.27,q,133.755950,start,134.045358
case_11.25,k,134.451029,end,134.451029
case_11.25,g,134.451029,start,134.451029
case_2.32,c,134.971853,start,134.971853
case_30,i,105.001494,start,135.056534
case_9.24.fractal_6,m,106.794438,end,135.466858
case_11.27,p,131.344793,end,135.503596
case_7.28.fractal_7,g,123.115069,end,135.545336
case_7.28.fractal_7,c,129.930218,start,135.798122
case_7.28.fractal_7,h,132.440559,start,136.190938
case_11.27,p,123.088924,start,136.807493
case_11.27,p,136.942778,start,136.942778
case_11.25,g,133.859485,end,137.834745
case_7,c,137.845957,end,137.845957
case_7.28.fractal_7,o,123.115069,start,138.178227
case_6.19,s,132.081085,start,138.187622
case_2.32.fractal_9,o,138.625455,end,138.625455
case_9,i,123.937426,end,139.457396
case_5.22,c,127.356609,start,139.509615
case_30.31,g,132.271840,start,139.712785
case_6,m,114.641095,start,140.475907
case_30.31,h,139.347449,start,140.743119
case_23,y,140.846952,start,140.846952
case_2.26,m,113.335356,start,140.871198
case_11.25,h,117.687791,start,141.359732
case_2,p,130.541047,start,141.579961
case_6,m,134.127611,end,141.867567
case_11.25,k,117.687791,end,142.639362
case_30.31,h,142.800320,end,142.800320
case_5.22,o,126.055960,end,142.877588
case_7.28,h,115.021936,start,143.007696
case_7.28,h,121.292791,end,143.245403
case_5.22.fractal_8,g,143.256872,start,143.256872
case_6.19,m,117.327396,start,143.325244
case_7,s,137.845957,start,143.509404
case_7.28.fractal_7,o,129.930218,end,143.574454
case_5.22.fractal_8,c,122.851555,start,143.673327
case_5.22.fractal_8,h,130.432420,end,144.059315
case_8,p,127.193969,end,144.307790
case_23,s,129.090730,start,144.636811
case_11.25,g,132.336047,start,145.155584
case_30.31,k,142.800320,start,145.753457
case_5.22.fractal_8,g,146.116325,end,146.116325
case_15,q,146.337971,start,146.337971
case_23,s,139.209673,end,147.773135
case_11.27,m,131.344793,start,147.821269
case_11.27,m,133.755950,end,148.219728
case_2.32,i,143.410024,start,148.332734
case_7.20,q,148.694038,end,148.694038
case_15,m,146.337971,end,148.774363
case_7.20,p,130.725129,end,148.900767
case_7.20,p,148.694038,start,148.944394
case_15.34,y,146.337971,start,149.803966
case_6.19,m,132.081085,end,149.843664
case_7.28,k,121.292791,start,149.862583
case_11.25,o,137.158508,start,150.445203
case_8,m,127.193969,start,151.494717
case_2,q,130.541047,end,151.908445
case_9,i,127.014270,start,152.100463
case_30.31,o,129.812244,start,152.428971
case_2.32,o,134.971853,end,152.660852
case_7.28,o,153.058802,end,153.058802
case_23,c,129.090730,end,153.078460
case_7.20,q,123.982282,end,153.273738
case_6,s,134.127611,start,153.967407
case_11.25,g,137.158508,end,154.218169
case_30.31.fractal_10,o,154.295455,end,154.295455
case_23,d,139.209673,start,154.668091
case_30.31,o,132.271840,end,154.935153
case_30,i,129.812244,start,155.809556
case_5.22.fractal_8,k,141.613747,start,156.325255
case_2.32,i,146.879176,end,156.779830
case_5.22,o,127.356609,end,157.087984
case_6.19,y,148.233858,start,157.252915
case_5.22.fractal_8,k,143.256872,end,157.576955
case_11.27,q,136.942778,end,157.714520
case_7,y,157.013069,start,157.822147
case_11.25,k,133.859485,start,157.872721
case_23.33,y,150.978181,start,157.886472
case_23.33.fractal_11,d,155.205564,start,158.166945
case_23.33,a,155.205564,start,158.215604
case_23.33,a,158.897709,end,158.897709
case_7.28.fractal_7,h,137.611450,end,159.031779
case_23.33,m,159.474436,end,159.474436
case_11.27,m,159.894967,end,159.894967
case_30.31.fractal_10,g,160.129938,end,160.129938
case_14,q,160.161582,end,160.161582
case_14,p,160.161582,start,160.161582
case_5.22.fractal_8,k,130.432420,start,160.784132
case_23.33,d,140.846952,start,161.301013
case_15.34,m,161.695580,start,161.695580
case_23.33,y,152.049922,end,161.701005
case_2.32,c,143.410024,end,161.743500
case_11.25,a,161.802268,end,161.802268
case_23,d,140.846952,end,162.046158
case_2.32,b,162.177282,end,162.177282
case_5.22,c,140.683731,end,162.217286
case_11.25,m,162.481266,end,162.481266
case_7.20,m,162.554980,end,162.554980
case_5.22.fractal_8,h,141.613747,end,162.671191
case_30.31,g,139.347449,end,162.800955
case_30.31.fractal_10,o,152.267294,start,162.912739
case_23.33,m,158.897709,start,163.438325
case_30.31.fractal_10,k,162.977144,start,163.924469
case_5.22.fractal_8,h,140.790292,start,164.439362
case_2.32.fractal_9,o,134.971853,start,165.161340
case_7.28,g,153.058802,start,165.226254
case_15.34,m,164.082653,end,165.470502
case_2,m,165.488017,start,165.488017
case_6.19,d,165.854978,end,165.854978
case_2.32,i,166.692164,end,166.692164
case_2.32.fractal_13,c,166.692164,start,166.692164
case_23.33,d,155.205564,end,166.866353
case_11.25,h,160.029781,start,166.945085
case_7.20,m,147.642215,end,166.998785
case_23.33.fractal_11,d,167.045545,end,167.045545
case_30.31.fractal_10,h,162.977144,end,167.532398
case_7.20,p,167.672031,start,167.672031
case_11.25,h,161.497241,end,167.856476
case_6.19,s,148.233858,end,168.133534
case_23.33.fractal_11,y,163.559684,start,168.192672
case_15.34.fractal_12,y,164.375826,start,168.667562
case_23.33,d,150.978181,end,168.673971
case_2.32,a,168.818916,end,168.818916
case_10,a,156.811213,end,168.820706
case_5.22.fractal_8,k,140.790292,end,169.187740
case_5.22,i,140.683731,start,169.657429
case_23.33.fractal_11,d,163.559684,end,169.665459
case_2.35,b,165.488017,start,169.672224
case_11.27,m,154.620605,start,170.273059
case_9,i,170.309114,end,170.309114
case_9,b,170.309114,start,170.309114
case_30.31,g,170.404347,start,170.404347
case_30.31,k,170.552561,start,170.552561
case_30.31.fractal_10,k,170.783525,end,170.783525
case_7.28,g,170.201247,end,170.998187
case_7,s,157.013069,end,170.999004
case_23.33,d,152.049922,start,171.232457
case_11.25,m,161.802268,start,171.527709
case_15.34,p,171.602465,end,171.602465
case_2.35,b,172.527579,end,172.527579
case_30.31,o,172.289106,start,172.735814
case_15.34,q,173.199669,end,173.199669
case_15.34,q,164.375826,end,173.232480
case_2.32,b,146.879176,start,173.591367
case_15.34,y,160.313047,end,173.752249
case_30.31,k,152.267294,end,174.082506
case_15,q,174.741897,end,174.741897
case_15.34,q,164.082653,start,174.807483
case_5.22,b,172.586668,start,175.278622
case_23.33.fractal_11,y,164.443431,end,175.523313
case_15.34.fractal_12,y,175.899547,end,175.899547
case_6.19,y,175.915238,end,175.915238
case_6.19,c,175.915238,start,175.915238
case_2.32,m,168.818916,start,176.056226
case_11.27,p,154.620605,end,176.460367
case_7.20,p,157.595195,end,176.497469
case_2.32.fractal_13,i,176.510835,end,176.510835
case_2.32.fractal_13,b,176.510835,start,176.510835
case_6,s,176.511744,end,176.511744
case_6.36,m,176.511744,start,176.511744
case_7.20,q,147.642215,start,177.300661
case_15.34,p,177.330083,end,177.330083
case_2,p,165.488017,end,177.486560
case_30.31,g,152.267294,start,177.656594
case_7.20,q,162.554980,start,178.557941
case_7,y,178.759058,end,178.759058
case_7,c,178.759058,start,178.759058
case_30.31,o,178.871039,end,178.871039
case_15.34.fractal_12,m,179.007930,end,179.007930
case_5.22,i,179.048163,start,179.048163
case_7.28,a,177.834793,end,179.208957
case_30.31,k,172.289106,end,179.235871
case_15.34.fractal_12,q,179.249679,end,179.249679
case_6.19,d,158.519474,start,179.473444
case_7.28,a,174.537135,start,181.196536
case_15.34,m,171.602465,start,181.570734
case_2,m,181.775301,end,181.775301
case_2.38,o,181.871351,start,181.871351
case_6.19,c,182.719645,end,182.719645
case_6.19,s,182.719645,start,182.719645
case_14,p,182.891015,end,182.891015
case_14,m,182.891015,start,182.891015
case_15.34,a,160.313047,start,182.927535
case_30.31.fractal_10,g,154.295455,start,183.021916
case_6.19,d,183.079954,start,183.079954
case_30.31.fractal_10,h,160.129938,start,183.160893
case_7.20,q,167.672031,end,183.305935
case_10,m,156.811213,start,183.569707
case_7.20,m,157.595195,start,183.670430
case_30.31,o,155.907551,start,183.688824
case_11.25,k,160.029781,end,184.008963
case_15.34,p,164.375826,start,184.540687
case_15.34,a,161.695580,end,184.686789
case_15.34.fractal_12,a,177.039572,end,184.810149
case_2.38.fractal_14,o,185.356713,start,185.356713
case_2.32.fractal_13,i,173.650203,start,185.379016
case_15.34,m,172.534954,end,185.391113
case_30.31,g,178.871039,start,185.448213
case_30.31,g,155.907551,end,185.544879
case_15.34,q,172.534954,start,185.575213
case_2.32,m,174.371091,end,185.709637
case_2,f,181.871351,end,186.335874
case_7.28,m,177.834793,start,186.621644
case_6.36,m,182.783873,end,186.635819
case_2.38,c,185.356713,start,186.763479
case_6.19,y,158.519474,end,187.021774
case_11.25,o,159.028174,end,187.298286
case_2.35,b,183.907152,start,187.434502
case_6.19,y,165.854978,start,188.434736
case_7.20,m,188.557873,end,188.557873
case_15.34.fractal_12,q,179.007930,start,188.569020
case_7.28,q,187.216199,start,188.732359
case_15.34.fractal_12,a,175.899547,start,188.785733
case_2.32.fractal_13,i,189.125514,start,189.125514
case_11.25,a,161.497241,start,189.156669
case_11.25,k,159.028174,start,189.572781
case_2.38,o,185.356713,end,189.983361
case_15.34.fractal_12,m,177.039572,start,190.044101
case_2.32,i,162.177282,start,190.094260
case_15,p,190.317775,end,190.317775
case_15.fractal_15,a,190.317775,start,190.317775
case_2.35,b,190.394623,end,190.394623
case_2.35,i,190.394623,start,190.394623
case_30.31,g,170.552561,end,191.195727
case_8,q,191.371244,start,191.371244
case_2,f,181.775301,start,191.650935
case_6,d,176.511744,start,191.681606
case_2.35,i,172.527579,start,191.687436
case_7.20,q,188.557873,start,192.155630
case_2.35,a,192.295957,start,192.295957
case_14,q,192.401429,start,192.401429
case_14,m,192.401429,end,192.679410
case_7.28,q,192.889161,end,192.889161
case_23.33.fractal_11,d,164.443431,start,193.253862
case_2.32.fractal_13,b,189.125514,end,193.326023
case_7.28,h,170.201247,start,193.374712
case_29,a,180.981702,end,193.481265
case_2.37,p,182.867837,end,193.724160
case_15,p,174.741897,start,193.840735
case_2.32.fractal_13,c,173.650203,end,193.884362
case_30.31,g,192.202770,end,194.890470
case_2.37,m,182.867837,start,195.050539
case_5.22,b,179.048163,end,195.325183
case_2.32,a,166.692164,start,195.448410
case_15.34,p,173.199669,start,195.875051
case_9,b,181.407893,end,195.897645
case_7.20,m,196.528527,start,196.528527
case_6.19,s,183.079954,end,197.910010
case_30.31,o,170.404347,end,198.166191
case_2.32.fractal_13,i,192.848445,end,198.402674
case_2.37,q,194.615960,start,198.506001
case_15.34,m,177.330083,start,198.602708
case_29,m,180.981702,start,199.073587
case_5.22,i,172.586668,end,199.240236
case_6.36,m,200.628355,start,200.628355
case_7.20,q,200.803007,end,200.803007
case_7.20,p,200.803007,start,200.803007
case_6.36,p,195.648901,start,201.294065
case_2.38,c,202.164384,end,202.164384
case_7.28,h,174.537135,end,202.563352
case_7.28,m,203.093607,start,203.093607
case_30,i,201.622328,end,203.100858
case_5.22,b,204.208035,start,204.208035
case_15.34,m,204.315527,end,204.315527
case_6.19,y,200.510787,start,205.220453
case_2.38,o,205.229822,end,205.229822
case_2.38,c,205.229822,start,205.229822
case_15.34,i,205.410537,end,205.410537
case_30.31,s,200.942087,start,205.610508
case_7.39,p,205.855322,start,205.855322
case_7,h,205.855322,start,205.855322
case_6.36,q,182.783873,start,206.322474
case_2.37,p,181.775301,start,206.341884
case_7.20,m,184.161729,start,206.773691
case_30.31,s,207.035562,end,207.035562
case_7.28,o,207.121047,start,207.636362
case_7.28,m,207.121047,end,207.668146
case_2.35,a,207.712088,end,207.712088
case_2.35,m,207.712088,start,207.712088
case_2.38.fractal_14,o,188.230710,end,207.990338
case_9,i,181.407893,start,208.499014
case_6.36,q,195.648901,end,208.763377
case_2.35,h,208.821894,start,209.034653
case_6.19,c,209.141120,start,209.141120
case_2.37,c,209.361271,start,209.361271
case_8,p,205.690396,start,209.927468
case_30.31,y,210.143615,start,210.143615
case_6.19,d,209.141120,end,210.252590
case_7.fractal_17,m,208.869030,start,211.115043
case_2.35,i,183.907152,end,211.165396
case_5.22,i,211.184591,start,211.184591
case_2,c,181.871351,start,211.243997
case_7.20,p,194.855698,start,211.312619
case_7.40,p,212.338692,start,212.338692
case_30,b,201.622328,start,213.054301
case_7.fractal_17,a,207.848033,start,213.182386
case_2.38,c,211.800439,end,213.187763
case_30.31,o,200.852334,end,213.456766
case_7.28,m,187.216199,end,213.651434
case_7.20,p,184.161729,end,213.814899
case_2.37,q,205.636965,end,213.914481
case_7.20,q,197.322437,start,213.992500
case_2.37,m,194.615960,end,214.050795
case_6.19,d,200.510787,end,214.217961
case_8,m,191.371244,end,214.587677
case_2.37,p,205.636965,start,214.716443
case_30.31,d,207.035562,start,214.738251
case_5.22,b,215.226158,end,215.226158
case_5.22,i,215.226158,start,215.226158
case_6.36.fractal_16,m,206.302580,start,216.165112
case_15.34,a,205.410537,start,216.637543
case_30.31,o,192.202770,start,216.876147
case_30.31,c,217.083868,end,217.083868
case_7.20,m,217.239603,start,217.239603
case_7.20,p,196.528527,end,217.293705
case_7.28,p,192.889161,start,217.416084
case_30.31,d,210.143615,end,217.441209
case_7.20,q,194.855698,end,217.469821
case_7.40,m,217.821427,start,217.821427
case_7.20,m,204.647079,start,218.075475
case_6.36,a,218.172647,start,218.172647
case_2.35,i,192.295957,end,218.819826
case_2.35,m,208.821894,end,219.447314
case_15,m,190.317775,start,219.927400
case_7.20,m,197.322437,end,219.984188
case_2.37,f,206.395495,start,220.097424
case_6.36,p,200.628355,end,220.225222
case_7.28,c,216.898263,start,220.398710
case_7.40,q,212.338692,end,220.625967
case_2.35,c,220.681053,start,220.681053
case_7.40,m,220.850786,end,220.850786
case_30.31,c,200.942087,end,221.583218
case_5.22,i,204.208035,end,221.603328
case_6.36,m,206.302580,end,221.955231
case_6.19,f,211.744203,start,221.979335
case_2.35,k,215.214846,end,222.044219
case_6.36.fractal_16,q,222.082907,end,222.082907
case_6.19,d,207.281580,start,222.219137
case_6.36,o,206.302580,start,222.243913
case_8,p,222.288629,end,222.288629
case_8,m,222.288629,start,222.288629
case_7.20,m,206.808908,end,222.423317
case_14,p,222.523929,start,222.523929
case_7.20,p,204.647079,end,222.874728
case_15.34,i,204.315527,start,223.400127
case_2.35,k,214.420403,start,223.595446
case_30.31,c,200.852334,start,223.738535
case_7,c,207.848033,start,225.257310
case_7.39,m,209.577327,start,225.394928
case_7.20,p,225.684887,start,225.684887
case_2.35,o,215.214846,start,226.679653
case_30.31,c,214.760240,start,226.718289
case_23,y,227.314541,end,227.314541
case_6.19,y,207.281580,end,227.628026
case_8,q,205.690396,end,228.011655
case_2.38,o,202.164384,start,228.349865
case_7.20,m,222.387494,end,228.464599
case_7.fractal_17,a,208.869030,end,228.641826
case_7.20,p,217.239603,end,228.917800
case_6.36.fractal_16,m,211.474521,end,229.315395
case_8.41,d,229.453857,end,229.453857
case_2.37,f,209.361271,end,229.560172
case_6.36.fractal_16,m,226.188919,start,229.605452
case_14,p,229.636778,end,229.636778
case_14,m,229.636778,start,229.636778
case_15.34,p,229.835548,start,229.835548
case_6.19,f,218.216542,end,229.882708
case_15.34,m,223.760373,start,230.050454
case_7.28,p,203.093607,end,230.119057
case_7.20,q,212.444078,end,230.231929
case_1,i,230.987285,end,230.987285
case_2.37,m,205.807229,start,231.159981
case_2.35,o,220.681053,end,231.164808
case_2.37,p,205.807229,end,231.597315
case_7,c,205.855322,end,231.858229
case_6.36.fractal_16,p,222.082907,start,231.946386
case_23,d,232.334760,end,232.334760
case_23,c,232.334760,start,232.334760
case_2.37,m,206.395495,end,232.509632
case_7.40,q,232.870570,end,232.870570
case_7.40.fractal_20,q,232.870570,start,232.870570
case_7.40,p,217.821427,end,232.889092
case_6.36.fractal_16,p,226.188919,end,232.919968
case_2.35,h,214.420403,end,232.955210
case_15.34,a,223.760373,end,233.210397
case_30.31,y,214.760240,end,233.374303
case_2.37,c,213.062815,end,233.394827
case_15.34,m,229.011730,end,233.415844
case_7.39,s,221.334386,start,233.642556
case_15.34.fractal_18,p,229.835548,start,233.660275
case_14.42,g,234.007314,start,234.007314
case_14.43,d,229.636778,start,234.346364
case_7.20,p,234.457883,end,234.457883
case_7.20,m,234.457883,start,234.457883
case_6.36,a,234.141025,end,234.558449
case_8.41,d,234.665371,start,234.665371
case_7.20,q,206.808908,start,234.683818
case_7.40,p,234.938547,end,234.938547
case_23,i,235.098551,start,235.098551
case_7,h,207.848033,end,235.259248
case_5.22,b,211.184591,end,235.914350
case_7.40,q,207.848033,start,235.948359
case_9,c,233.069617,start,236.352392
case_15.34.fractal_18,q,236.563491,start,236.563491
case_1,i,228.526812,start,236.566650
case_7.28,c,231.645197,end,236.948175
case_8.41,c,229.453857,start,236.951499
